,Name,Type,Vname,Stype,Decom,LDZ,Mtype,Streams,Owner,Aname,Atype,Alttype,lat,lon
146,Yelverton Offtake,Demand,"NTS Energy Offtaken, Yelverton, EA, LDZ Offtake",NTS Offtake,N,EA,NK,NK,Cadent Gas,N/A,A,N/A,52.583397,1.380589
147,Horndon Offtake,Demand,"NTS Energy Offtaken, Horndon, NT, LDZ Offtake",NTS Offtake,N,NT,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,51.529579,0.395678
148,Luxborough Lane Offtake,Demand,"NTS Energy Offtaken, LuxboroughLn, NT, LDZ Offtake",NTS Offtake,N,NT,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,51.615611,0.062862
149,Peters Green North Thames Offtake,Demand,"NTS Energy Offtaken, PetersGrn, NT, LDZ Offtake",NTS Offtake,N,NT,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,51.855955,-0.363414
150,Peters Green South Mimms Offtake,Demand,"NTS Energy Offtaken, PetersGrn, SM, LDZ Offtake",NTS Offtake,N,NT,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,51.855955,-0.363414
151,Winkfield NT Offtake,Demand,"NTS Energy Offtaken, Winkfield, NT, LDZ Offtake",NTS Offtake,N,NT,Orifice Plate,NK,Cadent Gas,N/A,A,N/A,51.449102,-0.688012
152,Big Saltwick Offtake,Demand,"NTS Energy Offtaken, Saltwick, NO, LDZ Offtake",NTS Offtake,N,NO,Orifice Plate,1,Northern Gas Networks,N/A,A,N/A,54.140965,-0.454353
153,Bishop Auckland Offtake,Demand,"NTS Energy Offtaken, Auckland, NO, LDZ Offtake",NTS Offtake,N,NO,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,54.401761,-1.335758
154,Bishop Auckland Test Facility Offtake,Demand,"NTS Energy Offtaken, AucklandTF, NO, LDZ Offtake",NTS Offtake,N,NO,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,54.401761,-1.335758
155,Coldstream Offtake,Demand,"NTS Energy Offtaken, Coldstream, NO, LDZ Offtake",NTS Offtake,N,NO,Orifice Plate,1,Northern Gas Networks,N/A,A,N/A,55.655181,-2.214002
156,Corbridge Offtake,Demand,"NTS Energy Offtaken, Corbridge, NO, LDZ Offtake",NTS Offtake,N,NO,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,54.974046,-2.017505
157,Cowpen Bewley Offtake,Demand,"NTS Energy Offtaken, CowpenBewley, NO, LDZ Offtake",NTS Offtake,N,NO,Orifice Plate,1,Northern Gas Networks,N/A,A,N/A,54.355621,-1.153293
158,Elton Offtake,Demand,"NTS Energy Offtaken, Elton, NO, LDZ Offtake",NTS Offtake,N,NO,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,53.282741,-2.794226
159,Guyzance Offtake,Demand,"NTS Energy Offtaken, Guyzance, NO, LDZ Offtake",NTS Offtake,N,NO,Turbine,2,Northern Gas Networks,N/A,A,N/A,55.330004,-1.67255
160,Humbleton Offtake,Demand,"NTS Energy Offtaken, Humbleton, NO, LDZ Offtake",NTS Offtake,N,NO,Turbine,1,Northern Gas Networks,N/A,A,N/A,53.793659,-0.138553
161,Keld Offtake,Demand,"NTS Energy Offtaken, Keld, NO, LDZ Offtake",NTS Offtake,N,NO,Turbine,1,Northern Gas Networks,N/A,A,N/A,54.518501,-2.6667
162,Little Burdon Offtake,Demand,"NTS Energy Offtaken, LtBurdon, NE, LDZ Offtake",NTS Offtake,N,NO,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,54.330451,-1.293909
163,Little Saltwick Offtake,Demand,"NTS Energy Offtaken, SaltwickH, NO, LDZ Offtake",NTS Offtake,N,NO,Orifice Plate,1,Northern Gas Networks,N/A,A,N/A,54.140965,-0.454353
164,Melkinthorpe Offtake,Demand,"NTS Energy Offtaken, Melkinthorpe, NO, LDZ Offtake",NTS Offtake,N,NO,Turbine,1,Northern Gas Networks,N/A,A,N/A,54.619968,-2.689562
165,Thrintoft Offtake,Demand,"NTS Energy Offtaken, Thrintoft, NO, LDZ Offtake",NTS Offtake,N,NO,Ultrasonic,1,Northern Gas Networks,N/A,A,N/A,54.3427651,-1.5092759
166,Tow Law Offtake,Demand,"NTS Energy Offtaken, TowLaw, NO, LDZ Offtake",NTS Offtake,N,NO,Turbine,2,Northern Gas Networks,N/A,A,N/A,54.443,-1.503782
167,Wetheral Offtake,Demand,"NTS Energy Offtaken, Wetheral, NO, LDZ Offtake",NTS Offtake,N,NO,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,54.881806,-2.833422
168,Asselby Offtake,Demand,"NTS Energy Offtaken, Asselby, NE, LDZ Offtake",NTS Offtake,N,NE,Turbine,2,Northern Gas Networks,N/A,A,N/A,53.744733,-0.920741
169,Baldersby Offtake,Demand,"NTS Energy Offtaken, Baldersby, NE, LDZ Offtake",NTS Offtake,N,NE,Turbine,2,Northern Gas Networks,N/A,A,N/A,54.205613,-1.452231
170,Burley Bank Offtake,Demand,"NTS Energy Offtaken, BurleyBank, NE, LDZ Offtake",NTS Offtake,N,NE,Orifice Plate,1,Northern Gas Networks,N/A,A,N/A,54.004204,-1.601882
171,Ganstead Offtake,Demand,"NTS Energy Offtaken, Ganstead, NE, LDZ Offtake",NTS Offtake,N,NE,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,53.793563,-0.255965
172,Pannal Offtake,Demand,"NTS Energy Offtaken, Pannal, NE, LDZ Offtake",NTS Offtake,N,NE,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,53.956844,-1.529101
173,Paull Offtake,Demand,"NTS Energy Offtaken, Paull, NE, LDZ Offtake",NTS Offtake,N,NE,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,53.7190697,-0.2307695
174,Pickering Offtake,Demand,"NTS Energy Offtaken, Pickering, NE, LDZ Offtake",NTS Offtake,N,NE,Orifice Plate,1,Northern Gas Networks,N/A,A,N/A,54.140839,-0.454387
175,Rawcliffe Offtake,Demand,"NTS Energy Offtaken, Rawcliffe, NE, LDZ Offtake",NTS Offtake,N,NE,Turbine,2,Northern Gas Networks,N/A,A,N/A,53.699709,-0.965041
176,Towton Offtake,Demand,"NTS Energy Offtaken, Towton, NE, LDZ Offtake",NTS Offtake,N,NE,Ultrasonic,2,Northern Gas Networks,N/A,A,N/A,53.8503468,-1.265239
177,Maelor Offtake,Demand,"NTS Energy Offtaken, Maelor, WN, LDZ Offtake",NTS Offtake,N,WN,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,53.0470664,-3.0090968
178,Dowlais Offtake,Demand,"NTS Energy Offtaken, Dowlais, WS, LDZ Offtake",NTS Offtake,N,WS,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,51.761811,-3.347789
179,Dyffryn Clydach Offtake,Demand,"NTS Energy Offtaken, DyffrynClyd, WS, LDZ Offtake",NTS Offtake,N,WS,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,51.685121,-3.836251
180,Gilwern Offtake,Demand,"NTS Energy Offtaken, Gilwern, WS, LDZ Offtake",NTS Offtake,N,WS,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,51.82351,-3.097385
181,Aylesbeare Offtake,Demand,"NTS Energy Offtaken, Aylesbeare, SW, LDZ Offtake",NTS Offtake,N,SW,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,50.7174125,-3.3627941
182,Choakford Offtake,Demand,"NTS Energy Offtaken, Choakford, SW, LDZ Offtake",NTS Offtake,N,SW,Turbine,2,Wales & West Utilities,N/A,A,N/A,50.375307,-3.989042
183,Cirencester Offtake,Demand,"NTS Energy Offtaken, Cirencester, SW, LDZ Offtake",NTS Offtake,N,SW,Turbine,2,Wales & West Utilities,N/A,A,N/A,51.718495,-1.968243
184,Coffinswell Offtake,Demand,"NTS Energy Offtaken, Coffinswell, SW, LDZ Offtake",NTS Offtake,N,SW,Turbine,2,Wales & West Utilities,N/A,A,N/A,50.506085,-3.565165
185,Easton Grey Offtake,Demand,"NTS Energy Offtaken, EastonGrey, SW, LDZ Offtake",NTS Offtake,N,SW,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,51.589929,-2.150379
186,Evesham Offtake,Demand,"NTS Energy Offtaken, Evesham, SW, LDZ Offtake",NTS Offtake,N,SW,Turbine,2,Wales & West Utilities,N/A,A,N/A,52.092149,-1.94677
187,Fiddington Offtake,Demand,"NTS Energy Offtaken, Fiddington, SW, LDZ Offtake",NTS Offtake,N,SW,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,50.963722,-2.885852
188,Ilchester Offtake,Demand,"NTS Energy Offtaken, Ilchester, SW, LDZ Offtake",NTS Offtake,N,SW,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,51.003499,-2.70163
189,Kenn Offtake,Demand,"NTS Energy Offtaken, Kenn, SW, LDZ Offtake",NTS Offtake,N,SW,Turbine,2,Wales & West Utilities,N/A,A,N/A,50.667797,-3.524443
190,Littleton Drew Offtake,Demand,"NTS Energy Offtaken, LittletnDrew, SW, LDZ Offtake",NTS Offtake,N,SW,Turbine,1,Wales & West Utilities,N/A,A,N/A,51.516521,-2.252539
191,Pucklechurch Offtake,Demand,"NTS Energy Offtaken, Pucklechurch, SW, LDZ Offtake",NTS Offtake,N,SW,Turbine,2,Wales & West Utilities,N/A,A,N/A,51.486646,-2.436695
192,Ross SW Offtake,Demand,"NTS Energy Offtaken, Ross, SW, LDZ Offtake",NTS Offtake,N,SW,Turbine,2,Wales & West Utilities,N/A,A,N/A,51.394242,-2.394382
193,Seabank Offtake,Demand,"NTS Energy Offtaken, Seabank, SW, LDZ Offtake",NTS Offtake,N,SW,Ultrasonic,2,Wales & West Utilities,N/A,A,N/A,51.530626,-2.6538
194,Bacton BBL,Supplies,"System Entry Energy, Bacton - BBL, M+15",Interconnector,N,N/A,Ultrasonic,2,BBL Company,"System Entry Energy, Bacton - BBL, D+2",D+2,N/A,52.512503,1.273496
195,Bacton Interconnector (IUK),Supplies,"System Entry Energy, Bacton Interconnector, M+15",Interconnector,N,N/A,Ultrasonic,2,Interconnector (UK),"System Entry Energy, Bacton Interconnector, D+2",D+1,N/A,52.512503,1.273496
196,Bacton Perenco (Amoco) Terminal,Supplies,"System Entry Energy, Bacton - Perenco, M+15",Subterminal,N,N/A,Orifice Plate,6,Perenco,"System Entry Energy, Bacton-Perenco, D+1",D+1,N/A,52.512503,1.273496
197,Bacton SEAL Terminal,Supplies,"System Entry Energy, Bacton Seal, M+15",Subterminal,N,N/A,NK,NK,Shell,"System Entry Energy, BactonSeal, D+1",D+1,N/A,52.512503,1.273496
198,Bacton Shell Terminal,Supplies,"System Entry Energy, Bacton - Shell, M+15",Subterminal,N,N/A,NK,NK,Shell,"System Entry Energy, Bacton-Shell, D+1",D+1,N/A,52.512503,1.273496
199,Barrow Terminal,Supplies,"System Entry Energy, Barrow , M+15",Subterminal,N,N/A,Orifice Plate,3,Hydrocarbon Resources Limited (Centrica),"System Entry Energy, Barrow , D+2",D+2,N/A,54.05421,-3.103949
200,Burton Point Terminal/Power Station,Supplies,"System Entry Energy, Burton Point, M+15",Subterminal,N,N/A,Orifice Plate,2,National Grid Gas GTO,"System Entry Energy, Burton Point, D+2",D+2,N/A,53.141853,-3.030809
201,Dragon Terminal,Supplies,"System Entry Energy, Dragon, M+15",Subterminal,N,N/A,Ultrasonic,2,Dragon LNG,"System Entry Energy, Dragon, D+1",D+1,N/A,51.706174,-5.001732
202,Easington BP Dimlington Terminal,Supplies,"System Entry Energy, Easington - Dimlington, M+15",Subterminal,N,N/A,Orifice Plate,3,Perenco,"System Entry Energy, Easington - Dimlington, D+2",D+2,N/A,54.363679,-1.114715
203,Easington Langeled Terminal,Supplies,"System Entry Energy, Easington - Langeled, M+15",Subterminal,N,N/A,Ultrasonic,4,Gassco,"System Entry Energy, Easington-Langeled, D+1",D+1,N/A,54.363679,-1.114715
204,Isle of Grain 1 Terminal,Supplies,"System Entry Energy, Grain NTS 1, M+15",Subterminal,N,N/A,Ultrasonic,6,NG LNG,"System Entry Energy, GrainNTS1, D+1",D+1,N/A,51.447863,0.67738
205,Isle of Grain 2 Terminal,Supplies,"System Entry Energy, GrainNTS2, M+15",Subterminal,N,N/A,Ultrasonic,6,NG LNG,"System Entry Energy, GrainNTS2, D+1",D+1,N/A,51.447863,0.67738
206,Moffat,Supplies,"System Entry Energy, Moffat Entry , M+15",Subterminal,N,N/A,Ultrasonic,3,National Grid Gas GTO,"System Entry Energy, Moffat Entry , D+2",D+2,N/A,55.162897,-3.261467
207,South Hook Terminal,Supplies,"System Entry Energy, SouthHook, M+15",Subterminal,N,N/A,Ultrasonic,4,South Hook LNG,"System Entry Energy, South Hook, D+2",D+2,N/A,51.722251,-5.0757
208,St Fergus Mobil (Apache) Terminal,Supplies,"System Entry Energy, ST Fergus - Mobil, M+15",Subterminal,N,N/A,Orifice Plate,8,Apache Corporation,"System Entry Energy, ST Fergus - Mobil, D+2",D+2,N/A,57.57195,-1.86362
209,St Fergus Shell Terminal,Supplies,"System Entry Energy, ST Fergus - Shell, M+15",Subterminal,N,N/A,Orifice Plate,3,Shell,"System Entry Energy, STFergus-Shell, D+1",D+1,N/A,57.57195,-1.86362
210,St Fergus Total (NSMP) Terminal,Supplies,"System Entry Energy, ST Fergus - NSMP, M+15",Subterminal,N,N/A,Orifice Plate,12,px limited,"System Entry Energy, STFergus-NSMP, D+1",D+1,N/A,57.57195,-1.86362
211,Teesside Amoco (BP CATS) Terminal,Supplies,"System Entry Energy, Teesside - BP, M+15",Subterminal,N,N/A,Orifice Plate,5,BP,"System Entry Energy, Teesside-BP, D+1",D+1,N/A,54.610346,-1.196773
212,Teesside PX (Enron) Terminal,Supplies,"System Entry Energy, Teesside - PX, M+15",Subterminal,N,N/A,Orifice Plate,7,px limited,"System Entry Energy, Teesside-PX, D+1",D+1,Ultrasonic,54.610346,-1.196773
213,Theddlethorpe Terminal,Supplies,"System Entry Energy, Theddlethorpe, M+15",Subterminal,N,N/A,Orifice Plate,3,ConocoPhillips,"System Entry Energy, Theddlethorpe, D+2",D+2,N/A,53.362,0.233
214,Aldbrough Storage,Supplies,"System Entry Energy, Aldbrough, M+15",Storage,N,N/A,Ultrasonic,2,SSE,"System Entry Energy, Aldbrough, D+2",D+2,N/A,53.8004668,-0.0817768
215,Beltoft (Hatfield Moor) Storage (Lindholme Compressor Station),Supplies,"System Entry Energy, Hatfield Moor , M+15",Storage,N,N/A,Ultrasonic,2,Scottish Power Generation,"System Entry Energy, HatfieldMoor, D+1",D+1,N/A,53.548783,-0.765552
216,Hilltop Storage,Supplies,"System Entry Energy, HillTop, M+15",Storage,N,N/A,Ultrasonic,1,EDF Energy,"System Entry Energy, HillTop, D+2",D+2,N/A,53.1470349,-2.4463039
217,Hole House Farm Storage,Supplies,"System Entry Energy, Hole House Farm, M+15",Storage,N,N/A,Ultrasonic,1,EDF Energy,"System Entry Energy, Hole House Farm, D+2",D+2,N/A,53.1470349,-2.4463039
218,Holford Storage,Supplies,"System Entry Energy, Holford , M+15",Storage,N,N/A,Ultrasonic,6,Holford Gas Storage Ltd (Uniper),"System Entry Energy, Holford, D+2",D+2,N/A,53.226205,-2.4132166
219,Hornsea Storage,Supplies,"System Entry Energy, Hornsea , M+15",Storage,N,N/A,Ultrasonic,1,SSE Hornsea Ltd,"System Entry Energy, Hornsea, D+2",D+2,N/A,53.921193,-0.168408
220,Humbly Grove Storage,Supplies,"System Entry Energy, Humbly Grove, M+15",Storage,N,N/A,Ultrasonic,2,Humbly Grove Energy,"System Entry Energy, Humbly Grove, D+2",D+2,N/A,51.182633,-1.363924
221,Rough Storage,Supplies,"System Entry Energy, Rough , M+15",Storage,N,N/A,Orifice Plate,3,Centrica Storage,"System Entry Energy, Rough, D+2",D+2,N/A,54.61005,-1.196806
222,Stublach Storage,Supplies,"System Entry Energy, Stublach, M+15",Storage,N,N/A,Ultrasonic,2,Storengy,"System Entry Energy, Stublach, D+2",D+2,N/A,53.2293333,-2.4613056
